> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
Early Mapping Clustering Protocol running...
Retrieving records from the databases...
Adding records to parties...
Encoding party records...
Grouping party records...
Early mapping clustering protocol...
Number of blocks: 98169
Number of blocks: 98169
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 3X3
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 3X3
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 4X4
Matrix size: 3X3
Matrix size: 5X5
Matrix size: 3X3
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 3X3
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 3X3
Matrix size: 3X3
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 2X2
Matrix size: 2X2
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 1X1
