Starting a Gradle Daemon, 2 busy Daemons could not be reused, use --status for details
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :run
Metric Space Protocol running...
Retrieving records from the databases...
Adding records to parties...
Encoding party records...
Grouping party records...
Metric space protocol...
Matrix size: 144X144
Matrix size: 147X147
Matrix size: 373X373
Matrix size: 390X390
Matrix size: 351X351
Matrix size: 358X358
Matrix size: 168X168
Matrix size: 170X170
Matrix size: 73X73
Matrix size: 74X74
Matrix size: 159X159
Matrix size: 158X158
Matrix size: 205X205
Matrix size: 208X208
Matrix size: 305X305
Matrix size: 310X310
Matrix size: 16X16
Matrix size: 19X19
Matrix size: 128X128
Matrix size: 129X129
Matrix size: 96X96
Matrix size: 98X98
Matrix size: 220X220
Matrix size: 224X224
Matrix size: 340X340
Matrix size: 350X350
Matrix size: 49X49
Matrix size: 53X53
Matrix size: 43X43
Matrix size: 41X41
Matrix size: 196X196
Matrix size: 198X198
Matrix size: 6X6
Matrix size: 6X6
Matrix size: 211X211
Matrix size: 217X217
Matrix size: 342X342
Matrix size: 347X347
Matrix size: 149X149
Matrix size: 150X150
Matrix size: 6X6
Matrix size: 6X6
Matrix size: 53X53
Matrix size: 54X54
Matrix size: 279X279
Matrix size: 282X282
Matrix size: 1X1
Matrix size: 1X1
Matrix size: 25X25
Matrix size: 27X27
Matrix size: 12X12
Matrix size: 12X12
Matrix size: 78X78
Matrix size: 80X80
Matrix size: 254X254
Matrix size: 258X258
Matrix size: 230X230
Matrix size: 235X235
Matrix size: 114X114
Matrix size: 116X116
Matrix size: 70X70
Matrix size: 69X69
Matrix size: 119X119
Matrix size: 121X121
Matrix size: 132X132
Matrix size: 136X136
Matrix size: 185X185
Matrix size: 187X187
Matrix size: 12X12
Matrix size: 12X12
Matrix size: 99X99
Matrix size: 99X99
Matrix size: 61X61
Matrix size: 65X65
Matrix size: 116X116
Matrix size: 119X119
Matrix size: 254X254
Matrix size: 256X256
Matrix size: 45X45
Matrix size: 45X45
Matrix size: 27X27
Matrix size: 27X27
Matrix size: 143X143
Matrix size: 147X147
Matrix size: 3X3
Matrix size: 3X3
Matrix size: 124X124
Matrix size: 124X124
Matrix size: 211X211
Matrix size: 213X213
Matrix size: 113X113
Matrix size: 113X113
Matrix size: 6X6
Matrix size: 6X6
Matrix size: 25X25
Matrix size: 25X25
Matrix size: 174X174
Matrix size: 179X179
Matrix size: 25X25
Matrix size: 26X26
Matrix size: 3X3
Matrix size: 3X3
Matrix size: 144X144
Matrix size: 148X148
Matrix size: 416X416
Matrix size: 431X431
Matrix size: 400X400
Matrix size: 412X412
Matrix size: 208X208
Matrix size: 216X216
Matrix size: 99X99
Matrix size: 101X101
Matrix size: 157X157
Matrix size: 161X161
Matrix size: 193X193
Matrix size: 197X197
Matrix size: 335X335
Matrix size: 347X347
Matrix size: 21X21
Matrix size: 20X20
Matrix size: 157X157
Matrix size: 160X160
Matrix size: 106X106
Matrix size: 109X109
Matrix size: 204X204
Matrix size: 206X206
Matrix size: 370X370
Matrix size: 387X387
Matrix size: 58X58
Matrix size: 58X58
Matrix size: 58X58
Matrix size: 57X57
Matrix size: 235X235
Matrix size: 234X234
Matrix size: 6X6
Matrix size: 6X6
Matrix size: 242X242
Matrix size: 245X245
Matrix size: 391X391
Matrix size: 402X402
Matrix size: 164X164
Matrix size: 165X165
Matrix size: 7X7
Matrix size: 7X7
Matrix size: 40X40
Matrix size: 40X40
Matrix size: 359X359
Matrix size: 377X377
Matrix size: 19X19
Matrix size: 19X19
Matrix size: 6X6
Matrix size: 6X6
Matrix size: 129X129
Matrix size: 131X131
Matrix size: 327X327
Matrix size: 334X334
Matrix size: 309X309
Matrix size: 311X311
Matrix size: 179X179
Matrix size: 184X184
Matrix size: 72X72
Matrix size: 72X72
Matrix size: 165X165
Matrix size: 171X171
Matrix size: 192X192
Matrix size: 200X200
Matrix size: 294X294
Matrix size: 306X306
